Source,Target,Relation
vijaita,mayankthakurcg,friend_of_friend
vijaita,SiddhiRahul,friend_of_friend
vijaita,Aarti06623057,friend_of_friend
vijaita,SonuKum67868595,friend_of_friend
@SitaramYechury,DaminiNath,friend
RohanShuklaJi,DaminiNath,follower_of_friend
kishan_labana,DaminiNath,follower_of_friend
AnkitKu37194641,DaminiNath,follower_of_friend
YshYsk,DaminiNath,follower_of_friend
sumeetkohar,DaminiNath,follower_of_friend
SobhanaNair,DaminiNath,follower_of_friend
ChatureshMedia,DaminiNath,follower_of_friend
ASHUTOSH693,DaminiNath,follower_of_friend
nawinaswin_s,DaminiNath,follower_of_friend
bhaumik_rajib,DaminiNath,follower_of_friend
atulkay,DaminiNath,follower_of_friend
iShankarGurjar,DaminiNath,follower_of_friend
Datasearching4,DaminiNath,follower_of_friend
mumtazkazmi23,DaminiNath,follower_of_friend
RavindraVenkata,DaminiNath,follower_of_friend
kapil122414,DaminiNath,follower_of_friend
Himmat09,DaminiNath,follower_of_friend
Khoja_Sarkar,DaminiNath,follower_of_friend
abid20205,DaminiNath,follower_of_friend
Namra9496,DaminiNath,follower_of_friend
DaminiNath,RohanShuklaJi,friend_of_friend
DaminiNath,kishan_labana,friend_of_friend
DaminiNath,AnkitKu37194641,friend_of_friend
DaminiNath,YshYsk,friend_of_friend
DaminiNath,sumeetkohar,friend_of_friend
DaminiNath,SobhanaNair,friend_of_friend
DaminiNath,ChatureshMedia,friend_of_friend
DaminiNath,ASHUTOSH693,friend_of_friend
DaminiNath,nawinaswin_s,friend_of_friend
DaminiNath,bhaumik_rajib,friend_of_friend
DaminiNath,atulkay,friend_of_friend
DaminiNath,iShankarGurjar,friend_of_friend
DaminiNath,Datasearching4,friend_of_friend
DaminiNath,mumtazkazmi23,friend_of_friend
DaminiNath,RavindraVenkata,friend_of_friend
DaminiNath,kapil122414,friend_of_friend
DaminiNath,Himmat09,friend_of_friend
DaminiNath,Khoja_Sarkar,friend_of_friend
DaminiNath,abid20205,friend_of_friend
DaminiNath,Namra9496,friend_of_friend
@SitaramYechury,free_thinker,friend
hard_climber,free_thinker,follower_of_friend
RahulYa39907041,free_thinker,follower_of_friend
blundermaster42,free_thinker,follower_of_friend
Tsant81,free_thinker,follower_of_friend
NebhaniRahul,free_thinker,follower_of_friend
fwenchnotfrench,free_thinker,follower_of_friend
joshfer07,free_thinker,follower_of_friend
HindutvaWatchRe,free_thinker,follower_of_friend
mycityscope,free_thinker,follower_of_friend
Shivani87764925,free_thinker,follower_of_friend
Deepak86370320,free_thinker,follower_of_friend
ummerum75674227,free_thinker,follower_of_friend
aiza88389634,free_thinker,follower_of_friend
abhishek_soran,free_thinker,follower_of_friend
HiAinwe,free_thinker,follower_of_friend
GY2108,free_thinker,follower_of_friend
raki6663,free_thinker,follower_of_friend
KhanIrjan,free_thinker,follower_of_friend
pradeeptheni,free_thinker,follower_of_friend
Armlocked,free_thinker,follower_of_friend
free_thinker,hard_climber,friend_of_friend
free_thinker,RahulYa39907041,friend_of_friend
free_thinker,blundermaster42,friend_of_friend
free_thinker,Tsant81,friend_of_friend
free_thinker,NebhaniRahul,friend_of_friend
free_thinker,fwenchnotfrench,friend_of_friend
free_thinker,joshfer07,friend_of_friend
free_thinker,HindutvaWatchRe,friend_of_friend
free_thinker,mycityscope,friend_of_friend
free_thinker,Shivani87764925,friend_of_friend
free_thinker,Deepak86370320,friend_of_friend
free_thinker,ummerum75674227,friend_of_friend
free_thinker,aiza88389634,friend_of_friend
free_thinker,abhishek_soran,friend_of_friend
free_thinker,HiAinwe,friend_of_friend
free_thinker,GY2108,friend_of_friend
